Time (kyrs),Groundsurface T (oC)
-49.1628,-15.0648
-44.5581,-14.22
-37.0233,-19.2189
-28.6512,-14.0229
-19.8605,-10.3203
-5.62791,-7.591
3.5814,-9.8624
30.3721,-11.4819
40.4186,-17.7142
54.6512,-17.4524
59.6744,-13.1011
68.4651,-6.73615
78.5116,-10.9555
87.7209,-8.87623
97.7674,-13.4852
109.907,-10.4315
121.209,-17.0532
129.581,-17.3117
135.442,-13.6096
145.488,-17.3095
160.558,-8.93066
172.279,-16.9809
176.465,-12.6297
183.163,-7.95337
193.628,-11.0038
203.674,-8.46989
208.698,-12.3003
214.558,-16.5203
220.837,-13.5323
225.442,-11.259
233.395,-15.6085
236.326,-17.4912
242.605,-18.1396
250.14,-14.8268
255.163,-17.4884
256.419,-19.4363
262.698,-20.1497
266.047,-13.9804
269.395,-9.69417
275.674,-6.83612
280.279,-8.65364
281.953,-11.3157
288.233,-14.4317
296.186,-10.2098
302.047,-12.7414
304.558,-14.2346
309.581,-14.4286
317.535,-10.7262
323.395,-13.1929
325.907,-16.3094
333.023,-18.1265
339.302,-14.0997
347.256,-13.7089
351.86,-16.1108
364,-14.6156
373.209,-18.3156
377.395,-21.0422
382,-20.7169
385.767,-13.054
389.535,-9.8067
395.814,-7.72788
400,-7.72788
